,english,russian
0,It's impossible for me to explain it to you.,Я не в состоянии тебе это объяснить.
1,He is afraid of dogs.,Он боится собак.
2,There were a lot of girls at the party.,На вечеринке было полно девчонок.
3,I didn't even know you had a girlfriend.,"Я и не знал, что у тебя есть девушка."
4,How did you manage to impress Tom?,Как вам удалось произвести впечатление на Тома?
5,Why does he hate me?,За что он меня ненавидит?
6,Stop teasing him.,Хватит его дразнить.
7,He's known her since middle school.,Он знает её со средней школы.
8,Tom pretended nothing had happened.,"Том сделал вид, будто ничего не произошло."
9,I promised myself that I'd quit smoking.,"Я пообещал себе, что брошу курить."
10,Stay here with them.,Останьтесь здесь с ними.
11,The accident almost cost him his life.,Авария чуть не стоила ему жизни.
12,He uncorked the bottle.,Он откупорил бутылку.
13,We are already at home.,Мы уже дома.
14,Haven't you returned those books yet?,Вы ещё не вернули те книги?
15,I met him at a club.,Я познакомился с ним в клубе.
16,I disagreed.,Я не согласился.
17,"Even if I knew, I wouldn't tell you.","Даже если бы я знал, я бы вам не сказал."
18,I hope you don't take this the wrong way.,"Надеюсь, вы не поймёте меня превратно."
19,Why are you so mysterious?,Вы чего такие таинственные?
20,You're just running away from life's problems.,Ты просто убегаешь от жизненных проблем.
21,There's snow outside.,Снаружи снег.
22,When did you see her?,Когда вы её видели?
23,I've been waiting for you for three hours.,Я вас уже три часа жду.
24,I failed the exam.,Я провалил экзамен.
25,Eat it while it's hot.,"Ешь, пока горячее."
26,Tom had to wait for three hours.,Тому пришлось прождать три часа.
27,What are you suggesting to me?,Что ты мне предлагаешь?
28,Tom thinks Mary is an idiot.,"Том думает, что Мария идиотка."
29,I told Tom to wait for me.,Я сказал Тому подождать меня.
30,I couldn't answer all of the questions.,Я не смог ответить на все вопросы.
31,"I didn't know you'd come, too.","Я не знал, что вы тоже придёте."
32,I ran into Tom in Boston last week.,На прошлой неделе я наткнулся в Бостоне на Тома.
33,Tom's painting.,Том красит.
34,Tom didn't know that Mary liked to cook.,"Том и не знал, что Мэри любит готовить."
35,I told Tom you were busy.,"Я сказал Тому, что вы заняты."
36,Tom was surprised to see Mary in Boston.,"Том удивился, увидев Мэри в Бостоне."
37,Do you want to hear a joke?,Хотите анекдот?
38,I wanted to do more.,Я хотел сделать больше.
39,Tom is our best pilot.,Том - наш самый лучший пилот.
40,Are you sure you know what Tom has to do?,"Ты уверен, что знаешь, что Тому надо делать?"
41,I can't just ignore him.,Я не могу просто игнорировать его.
42,She bikes to school.,Она ездит в школу на велосипеде.
43,I am about to cry!,Я сейчас заплачу!
44,Do you want to drive?,Хотите сесть за руль?
45,"Yesterday, I studied all day.",Я вчера весь день занимался.
46,They are the same age.,Они ровесники.
47,A coin rolled under the desk.,Под стол закатилась монета.
48,It's empty.,Она пустая.
49,Clean the windows.,Помой окна.
50,Don't think I didn't try.,"Не думай, что я не пытался."
51,You stay here. Everybody else go outside.,Ты оставайся здесь. Остальные выходят.
52,Tom risked his life to save Mary.,"Том рисковал своей жизнью, чтобы спасти Мэри."
53,A caravan of fifty camels slowly made its way through the desert.,Караван из пятидесяти верблюдов неторопливо двигался по пустыне.
54,You should be ashamed of your ignorance.,Ты должна стыдиться собственного невежества.
55,I exchanged seats with Tom.,Я поменялся с Томом местами.
56,Tom went to the park alone.,Том пошёл в парк один.
57,"And you're a teacher, right?","А вы учитель, да?"
58,I won't try to persuade you.,Я не буду пытаться тебя убедить.
59,I knew Tom wasn't likely to lose.,"Я знал, что Том вряд ли проиграет."
60,Tom told Mary that he was thirsty.,"Том сказал Мэри, что хочет пить."
61,What are you smirking about?,Чему ты ухмыляешься?
62,Tom didn't say how he was planning to get there.,"Том не сказал, как он собирается добраться дотуда."
63,Didn't I tell you that I was allergic to peanuts?,"Я разве не говорил тебе, что у меня аллергия на арахис?"
64,I know how old you are.,"Я знаю, сколько Вам лет."
65,I won't show it to anybody else.,Я больше никому его не покажу.
66,Tom isn't going to sell his house.,Том не будет продавать свой дом.
67,I didn't want to upset Tom.,Я не хотел огорчить Тома.
68,I'll teach you.,Я вас научу.
69,I have food.,У меня есть еда.
70,He moved close to her.,Он придвинулся к ней.
71,I wouldn't have done it.,Я бы не сделал этого.
72,Tom tried to strangle Mary.,Том попытался задушить Мэри.
73,I decided to try again.,Я решил снова попробовать.
74,Tom won't let you win again.,Том не позволит вам больше выиграть.
75,Cosmonauts wear spacesuits.,Космонавты носят скафандры.
76,Algeria purchases artillery from Russia.,Алжир покупает артиллерийское вооружение у России.
77,Should I tell Tom what happened?,"Мне сказать Тому, что случилось?"
78,I've got nothing to give you.,Мне нечего тебе дать.
79,Why should Tom apologize?,Почему Том должен извиняться?
80,The results were shocking.,Результаты были шокирующими.
81,This room is empty.,В этой комнате пусто.
82,Tom sent a telegram to Mary.,Том отправил Мэри телеграмму.
83,Can you believe it? We're in Germany!,Ты можешь в это поверить? Мы в Германии!
84,We slept under the stars.,Мы ночевали под открытым небом.
85,Don't lock the door.,Не запирай дверь.
86,When are you free?,Когда вы свободны?
87,Wasn't Tom supposed to do that on October 20th?,Том разве не должен был это двадцатого октября сделать?
88,I have to go to work now.,Я должен сейчас идти на работу.
89,Who is that woman?,Кто эта женщина?
90,I want to talk to you about this report.,Я хочу поговорить с тобой об этом отчёте.
91,When does it start?,Когда он начинается?
92,Smell is one of the five senses.,Обоняние - одно из пяти чувств.
93,What do you have?,Что у Вас?
94,They're afraid of him.,Они его боятся.
95,Tom is in his office.,Том на работе.
96,Tom is hiding something from us.,Том что-то скрывает от нас.
97,He didn't even touch him.,Он до него даже не дотрагивался.
98,Have you decided on a name for your new baby?,Вы уже придумали имя для новорождённого?
99,I want you to help me with my homework.,"Я хочу, чтобы ты помогла мне с моим домашним заданием."
100,I'm no expert.,Я не специалист.
101,He gave me a cold.,Я заразился от него простудой.
102,"I like Brazil, but nevertheless I'm going to the Ukraine.","Мне нравится Бразилия, но тем не менее я еду в Украину."
103,I made you breakfast.,Я приготовил вам завтрак.
104,I didn't think you'd let me do that.,"Я не думал, что ты позволишь мне это сделать."
105,I see Tom almost every day after school.,Я почти каждый день после школы вижу Тома.
106,"Once a thief, always a thief.",Горбатого могила исправит.
107,The soup is so hot I can't drink it.,"Суп такой горячий, что его невозможно есть."
108,Why is she so popular?,Почему она так популярна?
109,They declared that they were innocent.,Они заявили о своей невиновности.
110,How did you get hurt so badly?,Где это ты так сильно поранился?
111,I don't consider them friends.,Я не считаю их друзьями.
112,I made a deal with Tom.,Я заключил сделку с Томом.
113,I thought Tom and Mary were friends.,"Я думал, Том и Мэри дружат."
114,I've been expecting good news from them.,Я ждал от них хороших новостей.
