,english,finnish
0,I began driving our tractor when I was 12 years old to help my father out at harvest time.,"Aloin ajamaan traktoria kun olin kaksitoistavuotias, niin pystyin auttamaan isääni sadonkorjuun aikaan."
1,Give me water!,Antakaa minulle vettä!
2,Everybody danced.,Kaikki tanssivat.
3,Why don't you stay here?,Entäpä jos jäisit tänne?
4,I'm sorry about being late.,"Anteeksi, että olen myöhässä."
5,I checked into a hotel and went right to sleep.,Kirjauduin sisään hotelliin ja menin heti nukkumaan.
6,"Tom is crying, too.",Myös Tom itkee.
7,I would go except for my headache.,"Menisin, jos ei olisi päänsärkyä."
8,Pain will make you do stupid things.,Kipu saa tekemään typeryyksiä.
9,I made it from scratch.,Raavin sen kasaan täysin tyhjästä.
10,I kept him company while his wife was in surgery.,"Pidin hänelle seuraa sillä aikaa, kun hänen vaimonsa oli leikkauksessa."
11,You have to tell Tom what happened.,Sinun täytyy kertoa Tomille mitä tapahtui.
12,Why can't we go and see Tom?,Miksi me emme voi mennä katsomaan Tomia?
13,He's taking a shower.,Hän on suihkussa.
14,They sell sugar and salt at that store.,He myyvät sokeria ja suolaa tuossa kaupassa.
15,Tom fell over and landed flat on his face.,Tom kaatui suoraan naamalleen.
16,Can you read this kanji?,Osaatko lukea tämän kanjin?
17,"I have nothing to offer but blood, toil, tears, and sweat.","Minulla ei ole muuta tarjottavaa kuin verta, raatamista, kyyneliä ja hikeä."
18,I eat a lot of meat.,Syön paljon lihaa.
19,"I'm sorry, but I don't speak French very well.","Anteeksi, mutta en puhu ranskaa kovinkaan hyvin."
20,I was afraid of looking stupid.,"Mä pelkäsin, et mä näytän tyhmältä."
21,The sun and a damp climate made the tropical rainforest.,Auringonpaiste ja kostea ilmasto tekivät trooppisen sademetsän.
22,How old is your sister?,Kuinka vanha teidän siskonne on?
23,Her reassurances assuaged his worries.,Tämän vakuuttelut rauhoittivat hänen huoliaan.
24,Do your parents speak French?,Puhuvatko vanhempasi ranskaa?
25,"Under the Tatoeba guidelines, it is recommended that members only add sentences in their native language and/or translate from a language they can understand into their native language. The reason for this is that it is much easier to form natural-sounding sentences in one's native language. When we write in a language other than our native language, it is very easy to produce sentences that sound strange. Please make sure you only translate the sentence if you are sure you know what it means.","Tatoeban ohjeiden mukaisesti on suositeltavaa, että jäsenet lisäävät lauseita vain äidinkielellään ja/tai kääntävät ymmärtämästään kielestä äidinkielelleen. Syynä tähän on se, että on paljon helpompaa muodostaa luonnolliselta kuulostavia lauseita omalla äidinkielellään. Kun kirjoitamme jollain muulla kielellä kuin äidinkielellämme, tuotamme helposti lauseita, jotka kuulostavat oudoilta. Pidäthän myös huolta siitä, että käännät lauseen vain jos olet varma siitä, että tiedät mitä se tarkoittaa."
26,You're old.,Sinä olet vanha.
27,Is it OK if I turn off the light?,"Onko OK, jos sammutan valot?"
28,This month went by very quickly.,Tämä kuukausi vierähti hyvin nopeasti.
29,Do you accept credit cards?,Voinko maksaa luottokortilla?
30,She made room for an old lady.,Hän teki tilaa vanhalle rouvalle.
31,The slave carries the water.,Orja kantaa veden.
32,I changed my mind.,Muutin mieltäni.
33,He eats like a pig.,Hän syö kuin possu.
34,I telephoned to make sure that he was coming.,"Soitin hänelle varmistaakseni, että hän on tulossa."
35,Spiders spin webs.,Hämähäkit kutovat verkkoja.
36,I have a dog and a cat.,Minulla on koira ja kissa.
37,Thanks for today. I had fun.,Kiitos tästä päivästä. Minulla oli hauskaa.
38,I've been studying French.,Olen opiskellut ranskaa.
39,Tom bought his mother flowers.,Tomi osti äidilleen kukkia.
40,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,"Sini- ja kosinifunktiot saavuttavat arvoja lukujen miinus yksi ja yksi väliltä, mukaanlukien päätepisteet."
41,The kids are playing Duck Hunt.,Muksut pelaavat Duck Huntia.
42,Meros is certainly not a liar.,Meros ei varmasti ole valehtelija.
43,You should get moving.,Sinun pitäisi lähteä liikkeelle.
44,"Clean yourself up, Tom.",Siisti itsesi Tom.
45,"When I woke up, I was sad.",Kun heräsin olin surullinen.
46,Get set.,Paikoillanne.
47,"Tom has never been to Boston before, so I offered to show him around.","Tom ei ole koskaan aikaisemmin ollut Bostonissa, joten tarjouduin näyttämään hänelle paikkoja."
48,I was hurt and upset.,Olin loukkaantunut ja poissa tolaltani.
49,You made the right call.,Teit oikean ratkaisun.
50,Fucking damn it!,Vittu perkele!
51,I work even on Sunday.,Teen töitä myös sunnuntaina.
52,That's completely unfair.,Tuo on täysin epäreilua.
53,"To save the world requires faith and courage: faith in reason, and courage to proclaim what reason shows to be true.","Maailman pelastaminen vaatii uskoa ja rohkeutta: uskoa järkeen ja rohkeutta julistaa sitä, minkä järki osoittaa todeksi."
54,Fuck you!,Haist vittu!
55,This book is new.,Tämä kirja on uusi.
56,Tom arrived at the airport this morning.,Tom saapui lentokentälle tänä aamuna.
57,Don't worry!,Älä välitä siitä!
58,Are the cherries ripe enough to pick?,Ovatko kirsikat tarpeeksi kypsiä poimittaviksi?
59,Tom started to get angry.,Tom alkoi suuttua.
60,She couldn't help but cry.,Hän ei voinut olla itkemättä.
61,Are you a student?,Oletko sinä opiskelija?
62,Let's see if we can get the gate closed.,Katsotaanpa saammeko portin suljettua.
63,"May I see your passport, please?",Saisinko nähdä passinne?
64,Tom doesn't like it when people invade his personal space by standing too close to him.,"Tom ei pidä siitä, kun ihmiset tunkeutuvat hänen henkilökohtaiseen tilaansa seisomalla liian lähellä häntä."
65,They don't speak French here.,Täällä ei puhuta ranskaa.
66,"You come from Beijing, right?",Etkö tulekin Pekingistä?
67,You are my daughter.,Sinä olet minun tyttäreni.
68,Tom oiled his bicycle chain.,Tomi öljysi polkupyöränsä ketjut.
69,I was happy for her.,Olin onnellinen hänen puolestaan.
70,Why would anybody be willing to do that?,Miksi kukaan haluaisi tehdä sen?
71,Merry Christmas!,Hyvää joulua!
72,Put that down!,Pane se alas!
73,The medicine had an immediate effect.,Lääkkeen vaikutus oli välitön.
74,The delivery of the goods was delayed due to the storm.,Tavarantoimitus myöhästyi myrskyn vuoksi.
75,You did a good thing.,Sinä teit hyvää työtä.
76,It goes without saying that Rome was not built in a day.,"On sanomattakin selvää, että Roomaa ei rakennettu päivässä."
77,Tom is a spineless coward.,Tom on selkärangaton pelkuri.
78,Tom explained how he lost his money.,Tom selitti miten hän menetti rahansa.
79,Let's eat.,Syödään.
80,Sign above this line.,Allekirjoitus tämän viivan päälle.
81,Do you know where Holly is?,"Tiedätkö, missä Oona on?"
82,I think Tom is greedy.,Minun mielestäni Tomi on ahne.
83,I don't think that Tom will want your old bicycle.,"Minä en usko, että Tomi haluaa vanhan polkupyöräsi."
84,When did she send you her pictures?,Milloin hän lähetti sinulle kuvansa?
85,The baby was fast asleep.,Vauva oli syvässä unessa.
86,I want to change my reservation.,Haluan muuttaa varaukseni.
87,The company has purchased a new computer system.,Yritys on hankkinut uuden tietotokonejärjestelmän.
88,Do you speak French?,Osaatko sinä ranskaa?
89,Did you ever talk to Tom about that?,Puhuitko sinä koskaan Tomille siitä?
90,Why would I need to do that?,Miksi minun pitäisi tehdä se?
91,Crocodiles have sharp teeth.,Krokotiileilla on terävät hampaat.
92,Tom told Mary he had asked John to teach her how to do that.,"Tomi kertoi Marille, että hän oli pyytänyt Joukoa opettamaan tälle, miten tehdä noin."
93,His family are all very well.,Koko hänen perheensä voi oikein hyvin.
94,Tom misses his family.,Tomil on ikävä sen perhettä.
95,He came out of the room.,Hän tuli ulos huoneesta.
96,You're not yourself today.,Et ole itsesi tänään.
97,I think I know what you mean.,"Luulen, että tiedän mitä tarkoitat."
98,Definitely!,Ehdottomasti!
99,Tom's clueless.,Tomi on ihan pihalla.
100,Nobody knows what happened to Tom.,Kukaan ei tiedä mitä Tomille tapahtui.
101,Did Mr. Davis come to Japan to teach English?,Tuliko hra Davis Japaniin opettamaan englantia?
102,The tree grew very tall.,Puu kasvoi todella korkeaksi.
103,No one will find out.,Ei kukaan saa tietää.
104,Tom is a popular guy.,Tom on suosittu tyyppi.
105,I do not believe in that.,Tuohon en usko.
106,The dog is bleeding.,Koira vuotaa verta.
107,You two may leave.,Te kaksi voitte lähteä.
108,He's my father.,Hän on minun isäni.
109,"You speak French, right?","Sinähän puhut ranskaa, eikö niin?"
110,I just had dinner with some of Tom's friends.,Olin juuri illallisella joidenkin Tomin ystävien kanssa.
111,That's smart.,Tuo on fiksua.
112,Get down on all fours.,Mene kontallesi.
113,He was anxious to meet you.,Hän oli innokas tapaamaan sinut.
114,Have you put on sunscreen?,Laitoitko aurinkorasvaa?
115,Do you think he resembles his father?,Muistuttaako hän teidän mielestänne hänen isäänsä?
116,Please have a seat here.,Olkaa hyvä ja istukaa tähän.
117,Are you wounded?,Oletko haavoittunut?
118,"Please open the door. ""Just a minute.""",”Avaisitko oven?” ”Ihan kohta.”
119,Tom is doing all right.,Tomilla on kaikki hyvin.
120,You underestimated Tom.,Sinä aliarvioit Tomin.
121,Tom is in surgery now.,Tom on nyt leikkauksessa.
122,I don't feel like going out.,Minua ei huvita lähteä ulos.
123,He's been staying at that hotel for the past five days.,Hän on yöpynyt tuossa hotellissa viimeisen viiden päivän ajan.
124,I slept well last night.,Minä nukuin hyvin viime yönä.
125,Who are you waiting for?,Ketä sinä odotat?
126,Really?,Oikeestiko?
127,I believe the honest will win in the long run.,"Uskon, että rehellinen voittaa pitkällä tähtäimellä."
128,I work delivering pizzas.,Olen töissä pizzakuskina.
129,You aren't fat.,Sä et oo läski.
130,"I'm a tourist, too!",Minäkin olen turisti!
131,Tom prefers speaking French.,Tom puhuu mieluusti ranskaa.
132,They'll be well paid.,Heille maksetaan hyvin.
133,"If you cut class or something...it wouldn't surprise you if it showed up on your report card, would it?","Jos vaikka lintsaat koulusta... ei kai olisi yllätys, jos se näkyisi myös todistuksessa, vai mitä?"
134,It won't matter.,Ei sillä väliä.
135,Who'll eat the rest?,Ketkä syövät loput?
136,You've got nice legs.,Sinulla on hyvät sääret.
137,Am I welcome here?,Olenko minä tervetullut tänne?
138,Tom and Mary spend a lot of time together. I think they're in love.,Tom ja Mari viettävät paljon aikaa yhdessä. Veikkaan heidän olevan rakastuneita.
139,Come over here!,Tule tänne!
140,I'll sing.,Minä laulan.
141,His courage contributed to the victory.,Hänen rohkeutensa auttoi voiton saavuttamisessa.
142,Tom and Mary have been dating for three months.,Tomi ja Mari ovat seurustelleet kolme kuukautta.
143,This is just a paperweight.,Tämä on pelkkä paperipaino.
144,Did Tom die?,Kuoliko Tom?
145,I'm not going anywhere on Monday.,Minä en mene mihinkään maanantaina.
146,Tom will take the 2:30 train.,Tom tulee 2:30 junalla.
147,I want to go back to my cubicle.,Haluan mennä takaisin koppiini.
148,I didn't know you could dance.,"Minä en tiennyt, että te pystyitte tanssimaan."
149,"Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name, Ebenezer Scrooge.","Scrooge hiipi vavisten lähemmäksi sitä. Sormen päässä oli hylätty hautakivi, jota koristi hänen nimensä, Ebenezer Scrooge."
150,The Mediterranean diet seems to be good for our health.,Käsittääkseni Välimeren ruokavalio on varsin terveellinen.
151,Luck's on my side today.,Onni on tänään puolellani.
152,My mother cooks for me.,Äitini kokkaa minun puolestani.
153,I guess that'd be OK.,"Luulen, että se olisi OK."
154,I gave her a present in return for her kindness.,Annoin hänelle lahjan kiitoksena hänen kiltteydestään.
155,It rains a lot in June in Japan.,Kesäkuussa Japanissa sataa paljon.
156,"Tom is similar in some ways to his father, but in others he's very different.","Joissain asioissa Tomi muistuttaa paljon isäänsä, mutta toisissa hän on hyvin erilainen."
157,Tom just disappeared.,Juuri Tomi katosi.
158,Tom can't come with me to Boston.,Tom ei pysty tulemaan minun kanssani Bostoniin.
159,No one likes war.,Kukaan ei pidä sodasta.
160,You bore me.,Pitkästytät minua.
161,I intend to take my position as a third party.,Aion ottaa asemani kolmantena osapuolena.
