,finnish,russian
0,Perun kysymykseni.,Веселитесь.
1,- Häivytään.,Мы должны идти.
2,Sinä saavuit.,"Ах, детектив, ты сделала это."
3,U-veneistä ja siiloista laukaistut ohjukset tuhoavat pääkohteet:,Первая: запустим из вертикальной шахты ракету с подлодки. Поразим первостепенные цели:
4,Ei ole kenttää.,Здесь нет сигнала.
5,- Senkin paska.,– Кусок дерьма.
6,- Tehtävän on jatkuttava.,"Луиза, миссия под угрозой."
7,"Yhtiölläni on patentti iirisbiometriikkaan - ja se kokoaa kaiken datansa yhteen tietokantaan. Simmons on yksi viidestä, joka pääsee sinne.","Моей компании принадлежит патент в биометрии глаза, и она собирает все данные в базе данных, а Симмонс - одна из пяти людей, обладающих доступом."
8,- Verinen ainakin.,Кроваво.
9,Tämä on vaarallista seutua.,"Нет, это очень опасный район."
10,Nyt saa riittää.,"Так, с этим покончили."
11,Hitto.,Черт. Иви!
12,Minun olisi pitänyt mennä oikeaan.,- Я должен был свернуть направо.
13,Olen Prinssi Uljas.,Я принц Charmington.
14,Käytänteet ryhmälle% 1,Политика для группы% 1
15,"Yksinkertainen J - kirjaimen muotoinen malli on paras, etenkin vasta - alkajalle, sillä tärkeintä on, että sen läpi on helppo hengittää.","Лучше всего простая изогнутая трубка, особенно для новичков, так как самое главное — чтобы удобно дышалось."
16,Hän kävi kiertueella sisäoppilaitoksessa.,"Ну знаешь,болтания о туре в заграничную школу."
17,"En ehkä pysty todistamaan sitä, - mutta tiedän, että olet vastuussa noista kuolemista.","И возможно, я смогу доказать, что именно вы ответственны за все эти смерти."
18,Milloin viimeksi olet auttanut toista?,"Помимо шуток и фишек типа ""я против мира"", когда в последний раз ты делал что-нибудь для кого-то?"
19,-Satoiko koko ajan?,- А кто эта красивая дама? Вы попали под дождь?
20,Kai yritin vain olla muistamatta.,"Ну, думаю, я старался не вспоминать."
21,"- Ei, voin seistäkin.","Нет. Нет, спасибо."
22,Hauska tutustua.,Здравствуйте
23,Se paskiainen melkein suolisti hänet.," собаки была колота€ рана в живот.
& Проверить целостность
Большое спасибо, что Вы напомнили нам о том, как важно иметь сплоченную семью!
Разнесем Милуоки. - Миннеаполис!
- И где этот телефон?
Ну, она могла бы подумать, что ты умер.
Если человек знает, что делает, он никогда не станет стрелять,
Продажная тварь, в услужении у Широ Янагавы
Как прошлой ночью.
В то время как пацан был уже мёртв.
Может. Но я ей доверяю.
Я подумываю над этим.
- Мне любопытно, а где ты искала такие деньги?
В любом случае, давайте больше не будем тратить время на неё.
- Да.
Проверь.
- Вчера вечером.
Джулс!
Давай! Покажи нам своё достоинство!
Посмотри, какие еще экипажи пролетали над Филадельфией в ту ночь.
Я сама видела отчет токсиколога.
- Паркер, пошли.
И постыжен будет Моав ради Хамоса, как дом Израилев постыжен был ради Вефиля, надежды своей.
- Решил перестраховаться? Меня придётся убить, чтобы забрать ключ.
Такер прорывается!
Мы обо всем позаботимся.
Все нужные бумаги здесь. Хорошо, спасибо.
Я попал в свой собственный. Но я ценю компанию.
Я тут жениться собрался.
Есть дух, которого ты хотел бы услышать?
И это реалистичный взгляд на вещи, потому что основные проблемы людей коренятся не в политике, а в нравственности.
Ты крутишь бутылку, и тот, на кого она покажет становится твоим партнером.
- Да. - Правда? - Так сказала его жена.
- Наша головная боль не Люциус. А сучка Джулианна.
Я был захвачен на минбарский крейсер.
Елизавета никогда не согласится.
Я считаю, этого вообще не должно было случиться.
Или спецназ.
Парень этот, Кайл Добсон.
Вот и хорошо.
Боже, Сид.
Как будто червы бьют трефы.
Если это не сработает, то никаккого здесь"" уже не будет."
24,& Varmista eheys,Немного что?
25,"Kiitos kun muistutitte meitä siitä, että perheenjäsenten on hyvin tärkeää pysyä läheisinä toisilleen.",- Да.
26,- Nyt lähdemme Milwaukeehen.,А Вы Джоуи?
27,- Missä se kännykkä on?,"Мы нашли небольшой грузовик, который ехал в том направлении, и, договорившись с водителем, отправились в путь."
28,Ehkä hän luuli sinun kuolleen.,А про что?
29,Ei ammuta jos on mahdollista ettei osukaan. Sitten pitäisi etsiä kärsivä eläin ja tappaa se. Toinen.,Я достану свой старый гриль.
30,"Olet Shiro Yanagawan narttu, etkö olekin, ylikomisario?",В Англии 11 века отрубание головы мечом ввёл Вильгельм Завоеватель.
31,Aivan kuin viime yönä.,Кого мы наняли?
32,Vaikka poika oli jo kuollut.,"Думаю, мы скоро это поймем."
33,"Niin saattaa, mutta luotan häneen.",— Езжай!
34,- Mietinkin sitä.,"Я знаю, как молитва способна вызвать нежеланные мысли."
35,-Mistä sellaisia summia etsitään?,Верно.
36,Ei vatvota häntä enempää. Meidänhän piti puhua lipuista.,Почему она не превращается обратно? ! Дайсон...
37,-Olen.,"О, не вы."
38,Käy tarkistamassa!,Уходи!
39,- Milloin se tapahtui?,Ллойд - друг.
40,Jules!,Спросите.
41,"Näytä meille, että olet mies.",-Трчи!
42,- Selvä. - Sinun huoneeseesi?,Я в деле.
43,Minä näin pöytäkirjan.,В сухом остатке получается так. Да. Есть желание узнать подробности?
44,Voinko juoda kahvini loppuun?,Библия в Испании надолго впала в немилость.
45,"Ja Mooab joutuu häpeään Kemoksen tähden, niinkuin Israelin heimo joutui häpeään Beetelin tähden, johon se turvasi.","Йосеф сказал мне, что Джеки параноик, и если станешь умным, если станешь слишком умничать, он тебя бросит. Прости."
46,Seuraava sen viemistä yrittävä saa tappaa minut ensin.,Я пришел в поисках тебя.
47,Sain sen.,Динеш Реки. Я работаю в службе технической поддержки Чамхам. Но для своих клиентов я
48,Kaikesta on huolehdittu.,"Он также украл нашу кружку для сбора денег, хозяин."
49,Kaikki paperit ovat täällä sinua varten.,"Это очень мило с вашей стороны, Грэйс, но..."
50,"Tulin tänne omillani, mutta kiitos seurasta.","Да. Прямо рядом с кухней, где я могла наблюдать твое прелестное личико."
51,Näytän menevän naimisiin.,Утрата гражданства Финляндиифинский _ шведский _ английский
52,Odotatko viestiä hengeltä?,"Думаю, я готов для съемок крупным планом."
53,"Tämä lähestymistapa on realistinen, sillä ihmisten suurimmat ongelmat eivät liity politiikkaan vaan moraaliin.",Случайностей не существует.
54,"Pyörität pulloa. Ketä se osoittaa, hän on parisi.","Я могу быть агрессивной, как вы указали ранее."
55,- Niin hänen vaimonsa sanoo.,Да. И он полностью собран.
56,"Lucious ei ole isoin ongelmamme, vaan se Giuliana-ämmä.",Вы ведь не хотите быть вовлеченными в это
57,Minut kaapattiin - minbaariristeilijän sisälle.,"Когда народ соблюдал эти законы, даже самые бедные могли иметь достойную работу и им не нужно было просить милостыню."
58,Elisabet ei... Elisabet on vanha.,"Она знает, чего хочет."
59,Hänen ja minun välillä ei olisi pitänyt tapahtua mitään.,"А если она себя грохнет, то где ты будешь работать?"
60,Tai SWAT-ryhmä.,"Ты, я, выпивка."
61,"Tämä mies, Kyle Dobson.",— Не знаю. Тебе виднее.
62,Hyvä.,"С помощью заклинания маскировки, к тому же самого элементарного."
63,"Jestas, Sid.",Что? Тьı испугалась? Может бьıть...
64,Saat tehdä komean julisteen minua vastaan.,Две скобы по стороне (альбом)
65,"Jos tämä ei toimi, ei ole mitään ""tuolla.""","я не хотел бы, чтобы у заведени€ были проблемы."
66,"- ""Vähän vain..."" Mitä?",Справа. Стреляйте.
67,- Kyllä vain.,Ты сможешь пройти еще немного?
68,- Oletko sinä Joey?,Я не понимаю такой глупой вещи как донорство.
69,"Sovimme matkasta erään kuljettajan kanssa, joka oli menossa tuohon suuntaan pienellä kuorma - autolla, ja nousimme autoon.","-Жаль, что я не смог сказать ничего подобного."
70,Mistä on kyse?,"Подходите, не стесняйтесь, суйте руку в судьботрон!"
71,Haen vanhan grillin.,Между Давидом и Ионафаном завязывается дружба.
72,1000-luvulla Vilhelm Valloittaja teloitti miekalla.,- До свидания. - До свидания.
73,Ketä käytimme?,"Давай я позвоню ему, я смогу его найти, и ты... - Нет-нет-нет."
74,Se selvinnee pian.,"Не забывайте этого, капитан."
75,- Jatkakaa!,- ƒа. ћишель просила мен€ кое-что проверить.
76,"Tiedän, miten rukous voi saada aikaan ei-toivottuja ajatuksia.",Ч Ёто —идни.
77,- Aivan.,Что там?
78,- Miksei hän muutu takaisin?,А еще Томас Эванс здесь. Он.
79,Et sinä.,"Нет, когда женщины достигают определённого возраста..."
80,Ulos!,"Раньше начнем, раньше закончим."
81,Lloyd on ystävä.,Но я почти все заплатил. Осталось только уплатить по процентам.
82,Kysykää häneltä.,Может речь произнесешь?
83,- Mene!,"Дерст, расчленивший тело, защищался!"""
84,Olen mukana.,И что?
85,Haluatko tietää lisää?,"Так ты любитель поиграться с оружием, да?"
86,Raamatulle koitti Espanjassa pitkä ja synkkä yö.,"Господи! От телефона мочой воняет! Да, я..."
87,"Jos olet liian fiksu, saat kenkää.",На всех бывает распродажа!
88,- Tulin etsimään sinua.,"Купите такую, что застегивается спереди."
89,Olen Dinesh Rekhi Chumhumin käyttötukipalvelusta.,но во всяком народе боящийся Его и поступающий по правде приятен Ему.
90,Hän vei myös kolehtilippaan.,"Апостол Павел сказал, что « есть один Бог и один посредник между Богом и людьми — человек Христос Иисус », и что « Христос... ходатайствует за нас »."
91,"Sepä on kovin kilttiä Grace, mutta...","- Боже, выглядит потрясающе. - Выглядит превосходно."
92,"Keittiön vieressä, mistä näin komean naamasi.","Ты ведь не набила тату пока была там, правда?"
93,Suomen kansalaisuuden menettäminensuomi _ ruotsi _ englanti,"- Давай, закроем эту тему. Правда?"
94,Taidan olla valmis lähikuviin.,"- Ишь, терпень нашелся."
95,- Ei ole sattumaa.,Ты победил.
96,"Voin olla aggressiivinen, kuten aiemmin sanoit.","Чипс, не грусти, ладно?"
97,"- Sai, ja se on kokonainen.",Да ни один пират не может с вами сравниться!
98,- Et oikeasti halua sekaantua tähän.,"- Привет, Гарри."
99,"Kun näitä lakeja noudatettiin, kenenkään ei tarvinnut kerjätä ja kaikkein köyhimmilläkin oli kunniallista työtä.",я это заслужил.
100,"Hän tietää, mitä haluaa.","Бежим! Бежим, Уайт!"
101,Mitä työllesi tapahtuisi jos hän saisi tapettua itsensä?,Где они? - Где остальные?
102,- Hyvä.,"Говорят, что 31 октября 1517 года Мартин Лютер прибил к воротам церкви Виттенбергского замка свои 95 тезисов, положив тем самым начало протестантской Реформации."
103,-Sinulla vastauksia pitäisi olla.,Нужно собрать команду Три. Немедленно.
104,- Verhoamisloitsulla.,"Как Ваш друг, я думаю, что Вы должны сказать людям"
105,Eihän se ollut omituista?,Если мы вообще туда доберемся.
106,Kaksipuolinen sivu (vaakasuunta),"Кстати, Джоэл!"
107,En halua mitään hankaluuksia.,Ноги. Поднимается.
108,Oikealla puolellasi ammu.,Всё из-за хлопьев?
109,"- Pystytkö kävelemään, edes vähän?","Если вы знаете, скажите мне прямо сейчас."
110,Verenluovutuspäivä on typerä.,Ты нравишься мне.
111,- Keksisinpä minäkin tuollaisia.,"Я не знаю, как долго я смогу поддерживать этот йога-имидж."
112,Astukaa hämmästyttävän Päätöskoneen eteen!,"С каждым шагом звук усиливался, и вот мы вышли на поляну, где нашим взорам предстал величественный водопад Эль - Энканто, нижняя часть которого утопала в облаке водяной пыли."
113,Daavidin ja Jonatanin välille kehittyy lämmin ystävyys.,"Это может быть очень действенным, и действенно среди обыкновенных людей."
114,Selvä.,- С ними покончено.
115,"Ei, en kestä sitä.","Bиктop npeдnoлaгaл, чтo ты былa cлишкoм мaлa, чтoбы тoчнo зanoмнить, нo Mapкyc знaeт, чтo ты noмнишь."
116,"Sinun täytyy muistaa se, kapteeni.",Нет. Они..
117,- Michelle pyysi tsekkaamaan turvatason.,А не присмотреть ли вам подержанную машину в хорошем состоянии?
118,- Sidney.,Давай же.
119,- Mistä on kyse?,В каком смысле?
120,- Hyvää huomenta.,Да я тоже долгое время так считал.
121,Ei vaan naiset tulevat tiettyyn ikään...,Лучше позвонить Кристофу.
122,"Tehdään tämä. Ei, lähtekää.","Если я скажу о себе правду, фаны на меня набросятся."
123,Mutta olen maksanut jo melkein kaiken.,Тебе какая нужна?
124,- Pidä saman tien puhe.,"Николай II, не желая брать на себя ответственность за чудовищную бойню, заявил, что нужно сделать все возможное ради сохранения мира."
125,"Ruumiin paloitellut Durst vetosi itsepuolustukseen.""",- Папа сделал нам сегодня день красоты.
126,Entä sitten?,- Я ухожу отсюда.
127,Tykkäätkö leikkiä aseilla?,Ты теперь занимаешься школьной газетой?
128,"- Luoja, tämä puhelin haisee kuselta!",Хочешь его подержать?
129,Lopulta kaikki ovat!,Кто ушёл от вас? Мда.
130,Mikseivät napit ole edessä?,И все эти клятые машины.
131,"vaan että jokaisessa kansassa se, joka häntä pelkää ja tekee vanhurskautta, on hänelle otollinen.","Твоя мама в деле, так что нет причин паниковать."
132,"Paavali selitti, että ” on yksi Jumala ja yksi välittäjä Jumalan ja ihmisten välillä, ihminen, Kristus Jeesus ”, ja että ” Kristus – – puhuu meidän puolestamme ”.","— Ладно. Брет, а от тебя в прошлом году — ничего."
133,- Näyttääpä hyvältä.,След.
134,- Et kai ottanut tatuointia siellä?,Сердцебиение пришло в норму.
135,"- Jos ei, ja sanotaan puhuneemme.","Это твой брат. Как дела, Мал?"
136,Tervetuloa koettelemaan minun.,Тебе нужна была его жена.
137,Poliisin arpajaiset.,"Просто забудь о том, что делаешь это для себя."
138,"Chips. Älä ole surullinen, ethän? Et ole sellainen klovni.",Неужели?
139,Kukaan muu merirosvo ei vedä vertoja sinulle.,Продолжай проявлять к ним любовь
140,Mitä kuuluu?,"Хоть что-то, хорошо?"
141,Taisin ansaita tuon.,"Я не знаю, почему я думала, что сегодня все будет иначе."
142,Mikä sinua vaivaa?,- Дай мне еще один грамм? Мне нужно выдержать эту неделю.
143,Missä muut ovat?,Теперь понимаешь? Это твоя ошибка.
144,"Kerrotaan, että 31. lokakuuta 1517 Martti Luther naulasi 95 teesiään Wittenbergin linnankirkon oveen ja pani siten alulle protestanttisen uskonpuhdistuksen.",Ты многое проскакивал на быстрой перемотке ещё до встречи со мной. Ты сам выбрал такую жизнь.
145,Kootaan kolmosryhmä heti.,"Эй, Беккет. У нас есть кое-что."
